activity_id,assay_chembl_id,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,pchembl_value,extraction_date
53766,CHEMBL675636,CHEMBL203,CHEMBL77524,Ki,2500000.0,nM,=,,2026-03-21 13:33:18.447979
54402,CHEMBL674637,CHEMBL203,CHEMBL305194,IC50,29.0,nM,=,7.54,2026-03-21 13:33:18.447979
54405,CHEMBL621151,CHEMBL203,CHEMBL305194,IC50,5000.0,nM,>,,2026-03-21 13:33:18.447979
54407,CHEMBL615325,CHEMBL203,CHEMBL305194,IC50,50000.0,nM,>,,2026-03-21 13:33:18.447979
54979,CHEMBL674643,CHEMBL203,CHEMBL307250,IC50,325000.0,nM,=,,2026-03-21 13:33:18.447979
54980,CHEMBL675636,CHEMBL203,CHEMBL307250,Ki,800000.0,nM,=,,2026-03-21 13:33:18.447979
54990,CHEMBL674643,CHEMBL203,CHEMBL80155,IC50,6000.0,nM,=,5.22,2026-03-21 13:33:18.447979
54991,CHEMBL675636,CHEMBL203,CHEMBL80155,Ki,2200.0,nM,=,5.66,2026-03-21 13:33:18.447979
56107,CHEMBL677833,CHEMBL203,CHEMBL343352,IC50,200.0,nM,=,6.70,2026-03-21 13:33:18.447979
57335,CHEMBL677833,CHEMBL203,CHEMBL52765,IC50,44.0,nM,=,7.36,2026-03-21 13:33:18.447979
57442,CHEMBL674644,CHEMBL203,CHEMBL77436,IC50,,nM,,,2026-03-21 13:33:18.447979
57443,CHEMBL675636,CHEMBL203,CHEMBL77436,Ki,1400000.0,nM,=,,2026-03-21 13:33:18.447979
57444,CHEMBL674643,CHEMBL203,CHEMBL311564,IC50,450000.0,nM,=,,2026-03-21 13:33:18.447979
57445,CHEMBL674643,CHEMBL203,CHEMBL76642,IC50,75000.0,nM,=,4.12,2026-03-21 13:33:18.447979
57446,CHEMBL675636,CHEMBL203,CHEMBL76642,Ki,24000.0,nM,=,4.62,2026-03-21 13:33:18.447979
58119,CHEMBL674637,CHEMBL203,CHEMBL308645,IC50,4.7,nM,=,8.33,2026-03-21 13:33:18.447979
58122,CHEMBL674637,CHEMBL203,CHEMBL67003,IC50,1.8,nM,=,8.74,2026-03-21 13:33:18.447979
58125,CHEMBL621151,CHEMBL203,CHEMBL67003,IC50,100.0,nM,=,7.00,2026-03-21 13:33:18.447979
58127,CHEMBL615490,CHEMBL203,CHEMBL67003,IC50,,nM,,,2026-03-21 13:33:18.447979
58604,CHEMBL674643,CHEMBL203,CHEMBL307248,IC50,640000.0,nM,=,,2026-03-21 13:33:18.447979
58605,CHEMBL675636,CHEMBL203,CHEMBL307248,Ki,240000.0,nM,=,,2026-03-21 13:33:18.447979
60010,CHEMBL674643,CHEMBL203,CHEMBL310958,IC50,225000.0,nM,=,,2026-03-21 13:33:18.447979
60019,CHEMBL674643,CHEMBL203,CHEMBL78005,IC50,350000.0,nM,=,,2026-03-21 13:33:18.447979
60020,CHEMBL675636,CHEMBL203,CHEMBL78005,Ki,117000.0,nM,=,,2026-03-21 13:33:18.447979
61241,CHEMBL677833,CHEMBL203,CHEMBL134312,IC50,11.0,nM,=,7.96,2026-03-21 13:33:18.447979
61373,CHEMBL674643,CHEMBL203,CHEMBL77243,IC50,55000.0,nM,=,4.26,2026-03-21 13:33:18.447979
