activity_id,assay_chembl_id,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,pchembl_value,extraction_date,ic50_nM,log_ic50_nM
65265,CHEMBL674643,CHEMBL203,CHEMBL309334,IC50,2500.0,nM,=,5.6,2026-03-21 13:33:18.447979,2500.0,3.3979400086720375
65267,CHEMBL674643,CHEMBL203,CHEMBL310514,IC50,260000.0,nM,=,,2026-03-21 13:33:18.447979,260000.0,5.414973347970818
66030,CHEMBL674637,CHEMBL203,CHEMBL304971,IC50,410.0,nM,=,6.39,2026-03-21 13:33:18.447979,410.0,2.6127838567197355
66033,CHEMBL674637,CHEMBL203,CHEMBL69071,IC50,5.9,nM,=,8.23,2026-03-21 13:33:18.447979,5.9,0.7708520116421442
66037,CHEMBL615325,CHEMBL203,CHEMBL69071,IC50,2580.0,nM,=,5.59,2026-03-21 13:33:18.447979,2580.0,3.41161970596323
66490,CHEMBL677833,CHEMBL203,CHEMBL137534,IC50,38.0,nM,=,7.42,2026-03-21 13:33:18.447979,38.0,1.5797835966168101
66495,CHEMBL677833,CHEMBL203,CHEMBL137788,IC50,335.0,nM,=,6.47,2026-03-21 13:33:18.447979,335.0,2.525044807036845
67211,CHEMBL674637,CHEMBL203,CHEMBL69709,IC50,20000.0,nM,>,,2026-03-21 13:33:18.447979,20000.0,4.301029995663981
67606,CHEMBL677833,CHEMBL203,CHEMBL424093,IC50,25.0,nM,=,7.6,2026-03-21 13:33:18.447979,25.0,1.3979400086720377
67808,CHEMBL674643,CHEMBL203,CHEMBL77030,IC50,2400.0,nM,=,5.62,2026-03-21 13:33:18.447979,2400.0,3.380211241711606
67822,CHEMBL674643,CHEMBL203,CHEMBL78150,IC50,460000.0,nM,=,,2026-03-21 13:33:18.447979,460000.0,5.662757831681574
68467,CHEMBL674637,CHEMBL203,CHEMBL69106,IC50,20000.0,nM,>,,2026-03-21 13:33:18.447979,20000.0,4.301029995663981
68470,CHEMBL674637,CHEMBL203,CHEMBL264382,IC50,1.1,nM,=,8.96,2026-03-21 13:33:18.447979,1.1,0.04139268515822508
68473,CHEMBL621151,CHEMBL203,CHEMBL264382,IC50,200.0,nM,=,6.7,2026-03-21 13:33:18.447979,200.0,2.3010299956639813
