MolWt,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,TPSA,FractionCSP3,molecule_chembl_id,ic50_nM,log_ic50
300.402,3.4696800000000017,2,3,8,1,87.11,0.4444444444444444,CHEMBL77243,55000.0,4.740362689494244
282.259,1.27334,3,7,3,1,147.07999999999998,0.07142857142857142,CHEMBL80745,1200.0,3.0791812460476247
224.219,2.2149599999999996,1,3,3,1,84.88000000000001,0.0,CHEMBL77778,450000.0,5.653212513775344
495.9460000000001,3.5295200000000007,3,6,4,3,106.25,0.25,CHEMBL305246,2.8,0.4471580313422192
495.9460000000001,3.5295200000000007,3,6,4,3,106.25,0.25,CHEMBL305246,100.0,2.0
495.9460000000001,3.5295200000000007,3,6,4,3,106.25,0.25,CHEMBL305246,750.0,2.8750612633917
497.5590000000004,2.3927199999999997,4,7,7,3,124.27000000000001,0.25925925925925924,CHEMBL69966,18.0,1.255272505103306
497.5590000000004,2.3927199999999997,4,7,7,3,124.27000000000001,0.25925925925925924,CHEMBL69966,40.0,1.6020599913279623
497.5590000000004,2.3927199999999997,4,7,7,3,124.27000000000001,0.25925925925925924,CHEMBL69966,620.0,2.792391689498254
370.4560000000002,5.587900000000003,1,4,4,4,65.96000000000001,0.21739130434782608,CHEMBL47940,3200.0,3.505149978319906
171.15899999999996,0.75056,0,3,1,1,74.52,0.0,CHEMBL57712,1300000.0,6.113943352306837
200.197,1.8313599999999997,1,4,2,1,77.03999999999999,0.09090909090909091,CHEMBL77869,200000.0,5.301029995663981
511.9890000000001,4.213520000000002,4,6,9,3,115.04000000000002,0.28,CHEMBL69358,1.2,0.07918124604762482
511.9890000000001,4.213520000000002,4,6,9,3,115.04000000000002,0.28,CHEMBL69358,200.0,2.3010299956639813
511.9890000000001,4.213520000000002,4,6,9,3,115.04000000000002,0.28,CHEMBL69358,1290.0,3.110589710299249
292.34600000000006,4.090720000000002,2,5,4,3,74.56,0.125,CHEMBL137189,200.0,2.3010299956639813
357.2150000000001,4.544800000000002,2,5,4,3,74.56,0.06666666666666667,CHEMBL137617,39.0,1.591064607026499
306.373,3.802200000000002,1,5,5,3,65.77,0.17647058823529413,CHEMBL137027,482.0,2.6830470382388496
268.23199999999997,0.9703399999999998,4,7,2,1,158.07999999999998,0.0,CHEMBL78257,800.0,2.9030899869919438
243.17799999999994,1.7540600000000002,0,6,2,1,109.18,0.09090909090909091,CHEMBL76082,560000.0,5.748188027006201
173.17099999999996,1.6781799999999996,1,2,2,1,61.09,0.0,CHEMBL77595,850000.0,5.929418925714293
252.233,1.2647399999999998,3,6,2,1,137.85,0.0,CHEMBL309334,2500.0,3.3979400086720375
143.14899999999997,1.4452599999999998,1,2,1,1,63.37,0.0,CHEMBL310514,260000.0,5.414973347970818
495.9460000000002,3.5295200000000007,3,6,4,3,106.25,0.25,CHEMBL304971,410.0,2.6127838567197355
509.97300000000024,3.9643200000000016,4,6,4,3,115.04,0.28,CHEMBL69071,5.9,0.7708520116421442
509.97300000000024,3.9643200000000016,4,6,4,3,115.04,0.28,CHEMBL69071,2580.0,3.41161970596323
414.3110000000001,4.476600000000003,2,6,7,3,77.80000000000001,0.2222222222222222,CHEMBL137534,38.0,1.5797835966168101
292.34600000000006,3.650800000000002,2,5,5,3,74.56,0.125,CHEMBL137788,335.0,2.525044807036845
397.84100000000007,4.4746400000000035,2,4,3,3,73.91,0.15,CHEMBL69709,20000.0,4.301029995663981
433.31300000000016,6.115200000000003,2,5,6,4,74.56,0.047619047619047616,CHEMBL424093,25.0,1.3979400086720377
220.253,1.2908799999999998,3,4,2,1,90.27,0.0,CHEMBL77030,2400.0,3.380211241711606
282.387,4.417760000000005,1,3,1,1,67.81,0.4444444444444444,CHEMBL78150,460000.0,5.662757831681574
355.76000000000005,3.8335000000000017,3,4,3,3,82.69999999999999,0.0,CHEMBL69106,20000.0,4.301029995663981
602.6990000000002,4.4144200000000025,4,7,9,5,129.20000000000002,0.23529411764705882,CHEMBL264382,1.1,0.04139268515822508
602.6990000000002,4.4144200000000025,4,7,9,5,129.20000000000002,0.23529411764705882,CHEMBL264382,200.0,2.3010299956639813
602.6990000000002,4.4144200000000025,4,7,9,5,129.20000000000002,0.23529411764705882,CHEMBL264382,1950.0,3.290034611362518
208.16899999999998,0.9448000000000001,3,3,3,1,94.83,0.0,CHEMBL308133,1500000.0,6.176091259055681
245.194,1.73956,1,6,3,1,120.17999999999999,0.09090909090909091,CHEMBL307179,160000.0,5.204119982655925
455.8770000000003,4.467540000000002,4,5,6,3,120.00000000000001,0.18181818181818182,CHEMBL305782,180.0,2.255272505103306
511.9890000000001,4.213520000000002,4,6,9,3,115.04000000000002,0.28,CHEMBL308672,450.0,2.6532125137753435
511.9890000000001,4.213520000000002,4,6,9,3,115.04000000000002,0.28,CHEMBL308672,500.0,2.6989700043360187
306.3730000000001,4.2421200000000026,1,5,4,3,65.77,0.17647058823529413,CHEMBL133023,24.0,1.380211241711606
170.17099999999996,1.8227599999999997,1,3,1,1,67.81,0.0,CHEMBL310400,375000.0,5.574031267727719
401.2680000000001,4.561400000000003,2,6,7,3,83.79,0.17647058823529413,CHEMBL136674,71.0,1.8512583487190752
205.16899999999998,1.0893799999999998,3,4,2,1,101.55,0.0,CHEMBL73820,25000.0,4.3979400086720375
186.17,1.7084599999999999,2,4,1,1,88.04,0.0,CHEMBL79064,230000.0,5.361727836017593
331.129,2.027240000000001,3,6,2,1,137.85,0.0,CHEMBL77803,500.0,2.6989700043360187
145.161,1.9289799999999997,1,2,1,1,44.019999999999996,0.0,CHEMBL75718,2400000.0,6.380211241711606
279.093,2.5938600000000007,1,4,2,1,77.03999999999999,0.09090909090909091,CHEMBL77298,153000.0,5.184691430817598
442.5150000000003,5.079000000000003,3,3,6,3,91.42,0.25925925925925924,CHEMBL432941,8880.0,3.948412965778601
366.4170000000002,3.4120000000000017,3,3,5,2,91.42,0.3333333333333333,CHEMBL420609,100000.0,5.0
370.45200000000017,5.061800000000003,2,2,3,3,54.12,0.20833333333333334,CHEMBL419682,100000.0,5.0
519.4320000000004,6.664680000000005,1,6,6,4,70.41,0.21428571428571427,CHEMBL322395,3000.0,3.4771212547196626
370.4520000000002,5.061800000000003,2,2,3,3,54.12,0.20833333333333334,CHEMBL88462,100000.0,5.0
380.4000000000002,3.101600000000002,4,3,5,2,119.49000000000001,0.2857142857142857,CHEMBL431996,56500.0,4.752048447819439
294.3540000000001,3.394800000000002,2,2,2,2,54.12,0.2777777777777778,CHEMBL91250,100000.0,5.0
412.48900000000026,5.070400000000004,3,2,5,3,82.19,0.23076923076923078,CHEMBL88771,100000.0,5.0
442.5150000000004,5.079000000000003,3,3,6,3,91.42,0.25925925925925924,CHEMBL91815,100000.0,5.0
264.328,3.3862000000000023,2,1,1,2,44.89,0.23529411764705882,CHEMBL328029,100000.0,5.0
415.2870000000002,4.165900000000002,3,2,4,2,82.19,0.3,CHEMBL314995,100000.0,5.0
343.4080000000002,2.0336000000000003,3,3,2,2,105.05000000000001,0.23529411764705882,CHEMBL88483,100000.0,5.0
340.4260000000002,5.053200000000004,2,1,2,3,44.89,0.17391304347826086,CHEMBL313746,100000.0,5.0
296.326,2.8330200000000003,3,2,4,2,82.19,0.17647058823529413,CHEMBL89363,100000.0,5.0
238.29000000000002,3.1242400000000004,2,1,1,2,44.89,0.13333333333333333,CHEMBL276711,100000.0,5.0
370.45200000000017,5.061800000000003,2,2,3,3,54.12,0.20833333333333334,CHEMBL313500,100000.0,5.0
308.33700000000016,3.0844000000000014,3,2,2,2,82.19,0.2222222222222222,CHEMBL89010,100000.0,5.0
415.4710000000003,2.0508,4,4,5,2,142.35000000000002,0.3,CHEMBL86531,29100.0,4.463892988985907
336.39100000000025,3.403400000000002,3,2,4,2,82.19,0.3,CHEMBL315753,100000.0,5.0
343.22400000000016,4.1487000000000025,2,1,1,2,44.89,0.23529411764705882,CHEMBL88606,100000.0,5.0
442.5150000000004,5.079000000000003,3,3,6,3,91.42,0.25925925925925924,CHEMBL313821,100000.0,5.0
341.45500000000015,4.059400000000003,3,4,4,1,70.23,0.6,CHEMBL266969,50000.0,4.698970004336019
441.3330000000001,3.6115000000000013,1,6,7,3,74.25,0.2,CHEMBL138691,4.2,0.6232492903979004
441.3330000000001,3.6115000000000013,1,6,7,3,74.25,0.2,CHEMBL138691,2282.0,3.358315640082196
280.33500000000004,2.53782,1,6,3,3,66.83000000000001,0.2,CHEMBL52829,4.0,0.6020599913279624
