molecule_chembl_id,ic50_nM,pchembl_value,smiles,assay_chembl_id
CHEMBL311564,450000.0,,COc1ccc(C(O)=C(C#N)C#N)cc1,CHEMBL674643
CHEMBL76642,75000.0,4.12,N#C/C(=C/c1cc(O)ccc1O)C(=O)O,CHEMBL674643
CHEMBL308645,4.7,8.33,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL674637
CHEMBL67003,1.8,8.74,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,CHEMBL674637
CHEMBL67003,100.0,7.00,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,CHEMBL621151
CHEMBL307248,640000.0,,N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1,CHEMBL674643
CHEMBL310958,225000.0,,N#CC(C#N)=NNc1ccc(O)cc1,CHEMBL674643
CHEMBL78005,350000.0,,N#CC(C#N)=Cc1ccc2c(c1)OCO2,CHEMBL674643
CHEMBL134312,11.0,7.96,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL677833
CHEMBL77243,55000.0,4.26,CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,CHEMBL674643
CHEMBL80745,1200.0,5.92,COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,CHEMBL674643
CHEMBL77778,450000.0,,N#CC(C#N)=Cc1ccc(/C=C/C(=O)O)cc1,CHEMBL674643
CHEMBL305246,2.8,8.55,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL674637
CHEMBL305246,100.0,7.00,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL621151
CHEMBL305246,750.0,6.12,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL615325
CHEMBL69966,18.0,7.75,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,CHEMBL674637
CHEMBL69966,40.0,7.40,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,CHEMBL621151
CHEMBL69966,620.0,6.21,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,CHEMBL615325
CHEMBL47940,3200.0,5.50,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,CHEMBL679674
CHEMBL57712,1300000.0,,N#CC(C#N)=Cc1cc[n+]([O-])cc1,CHEMBL674643
CHEMBL77869,200000.0,,COc1cc(C=C(C#N)C#N)ccc1O,CHEMBL674643
CHEMBL69358,1.2,8.92,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL674637
CHEMBL69358,200.0,6.70,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL621151
CHEMBL69358,1290.0,5.89,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL615325
CHEMBL137189,200.0,6.70,C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,CHEMBL677833
CHEMBL137617,39.0,7.41,C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL677833
CHEMBL137027,482.0,6.32,CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1,CHEMBL677833
CHEMBL78257,800.0,6.10,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,CHEMBL674643
CHEMBL76082,560000.0,,N#CC(C#N)=Cc1cc2c(cc1[N+](=O)[O-])OCO2,CHEMBL674643
CHEMBL77595,850000.0,,N#C/C(=C\c1ccccc1)C(=O)O,CHEMBL674643
CHEMBL309334,2500.0,5.60,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,CHEMBL674643
CHEMBL310514,260000.0,,N#CC(C#N)=Cc1ccc[nH]1,CHEMBL674643
CHEMBL304971,410.0,6.39,Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL674637
CHEMBL69071,5.9,8.23,Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL674637
CHEMBL69071,2580.0,5.59,Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL615325
CHEMBL137534,38.0,7.42,CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL677833
CHEMBL137788,335.0,6.47,C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1,CHEMBL677833
CHEMBL69709,20000.0,,Cc1cc(C)c(/C=C2\C(=O)N(C)c3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL674637
CHEMBL424093,25.0,7.60,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,CHEMBL677833
CHEMBL77030,2400.0,5.62,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,CHEMBL674643
CHEMBL78150,460000.0,,CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,CHEMBL674643
CHEMBL69106,20000.0,,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc[nH]1,CHEMBL674637
CHEMBL264382,1.1,8.96,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,CHEMBL674637
CHEMBL264382,200.0,6.70,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,CHEMBL621151
CHEMBL264382,1950.0,5.71,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,CHEMBL615325
CHEMBL308133,1500000.0,,O=C(O)C(=Cc1ccc(O)cc1)C(=O)O,CHEMBL674643
CHEMBL307179,160000.0,,COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,CHEMBL674643
CHEMBL305782,180.0,6.75,Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,CHEMBL674637
CHEMBL308672,450.0,6.35,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,CHEMBL674637
CHEMBL308672,500.0,6.30,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,CHEMBL621151
CHEMBL133023,24.0,7.62,Cc1cccc(Nc2ncnc3ccc(/N=N/N(C)C)cc23)c1,CHEMBL677833
CHEMBL310400,375000.0,,N#CC(C#N)=Cc1cccc(O)c1,CHEMBL674643
CHEMBL136674,71.0,7.15,COCC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL677833
CHEMBL73820,25000.0,4.60,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O,CHEMBL674643
CHEMBL79064,230000.0,,N#CC(C#N)=C(O)c1ccc(O)cc1,CHEMBL674643
CHEMBL77803,500.0,6.30,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(Br)c1,CHEMBL674643
CHEMBL75718,2400000.0,,N#C/C=C/c1ccc(O)cc1,CHEMBL674643
CHEMBL77298,153000.0,,COc1cc(C=C(C#N)C#N)cc(Br)c1O,CHEMBL674643
CHEMBL432941,8880.0,5.05,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1,CHEMBL679949
CHEMBL420609,100000.0,,COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,CHEMBL679949
CHEMBL419682,100000.0,,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)c1,CHEMBL679949
CHEMBL322395,3000.0,5.52,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl,CHEMBL674698
CHEMBL88462,100000.0,,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,CHEMBL679949
CHEMBL431996,56500.0,4.25,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2,CHEMBL679949
CHEMBL91250,100000.0,,COc1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,CHEMBL679949
CHEMBL88771,100000.0,,O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2,CHEMBL679949
CHEMBL91815,100000.0,,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,CHEMBL679949
CHEMBL328029,100000.0,,O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCCC2,CHEMBL679949
CHEMBL314995,100000.0,,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2,CHEMBL679949
CHEMBL88483,100000.0,,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,CHEMBL679949
CHEMBL313746,100000.0,,O=C1Nc2cc(-c3ccccc3)ccc2/C1=C/c1cc2c([nH]1)CCCC2,CHEMBL679949
CHEMBL89363,100000.0,,Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O,CHEMBL679949
CHEMBL276711,100000.0,,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,CHEMBL679949
CHEMBL313500,100000.0,,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)cc1,CHEMBL679949
CHEMBL89010,100000.0,,O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1cc2c([nH]1)CCCC2,CHEMBL679949
CHEMBL86531,29100.0,4.54,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,CHEMBL679949
CHEMBL315753,100000.0,,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c2c1CCCC2,CHEMBL679949
CHEMBL88606,100000.0,,O=C1Nc2ccc(Br)cc2/C1=C/c1cc2c([nH]1)CCCC2,CHEMBL679949
CHEMBL313821,100000.0,,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,CHEMBL679949
CHEMBL266969,50000.0,,O=C1NC(=O)c2cc(NC3CCCCC3)c(NC3CCCCC3)cc21,CHEMBL679549
CHEMBL138691,4.2,8.38,C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL673925
CHEMBL138691,2282.0,5.64,C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL677216
CHEMBL52829,4.0,8.40,Cc1cccc(Nc2ncnc3cnc(N(C)C)nc23)c1,CHEMBL679947
CHEMBL52823,380.0,6.42,Cc1cccc(Nc2ncnc3cnc(Cl)nc23)c1,CHEMBL679947
CHEMBL8000,100000.0,,O=C1c2cc(Nc3ccccc3)c(Nc3ccccc3)cc2C(=O)N1c1ccccc1,CHEMBL679549
CHEMBL8000,50000.0,,O=C1c2cc(Nc3ccccc3)c(Nc3ccccc3)cc2C(=O)N1c1ccccc1,CHEMBL621149
CHEMBL139307,3.3,8.48,C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL673925
CHEMBL139307,194.0,6.71,C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL677216
CHEMBL322298,200.0,6.70,CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,CHEMBL680019
CHEMBL111434,670.0,6.17,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21,CHEMBL680019
CHEMBL111197,30.0,7.52,COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,CHEMBL680019
CHEMBL291667,100000.0,,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cccc(Cl)c3n2C)c(C(=O)Nc2ccccc2)c2cccc(Cl)c21,CHEMBL677391
CHEMBL8091,100000.0,,COC(=O)c1cc(Nc2ccc(F)cc2)c(Nc2ccc(F)cc2)cc1C(=O)OC,CHEMBL679549
CHEMBL136058,0.81,9.09,O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1,CHEMBL673925
CHEMBL136058,8.8,8.06,O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1,CHEMBL677216
CHEMBL136058,8.8,8.06,O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1,CHEMBL677213
CHEMBL113128,50000.0,,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NC3CCCCC3)nc21,CHEMBL680019
CHEMBL51854,3.8,8.42,COc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,CHEMBL679947
CHEMBL939,515.0,6.29,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,CHEMBL683041
CHEMBL95320,850.0,6.07,C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL683041
